mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2414832592010498,0.023705971497516562,0.3457171440124512,0.04867284749701588,1,1,"{'n_neighbors': 1, 'p': 1}",-402.85934422430773,-424.5028386050284,-404.81853997682504,-419.3203939745075,-430.2954808806489,-416.35931953226356,10.814253408644246,59,-0.3828394310709423,-0.2638973378523218,-0.2766641561902555,-0.4010196396500782,-0.3726319448467644,-0.33941050192207245,0.05731450751620621
0.22934269905090332,0.011412721061518903,0.4216431140899658,0.02479749620188135,1,2,"{'n_neighbors': 1, 'p': 2}",-442.93731896651605,-457.8291043911482,-437.57114716106605,-444.70869061413674,-456.9457705677868,-447.9984063401308,8.023247718240041,60,-0.3828394310709423,-0.2638973378523218,-0.2766641561902555,-0.4010196396500782,-0.3726319448467644,-0.33941050192207245,0.05731450751620621
0.1819612503051758,0.05369054146144823,0.36976895332336424,0.13778507791625438,2,1,"{'n_neighbors': 2, 'p': 1}",-377.01923299733517,-392.09877186884484,-375.05724217844727,-382.6653534183082,-391.3208574739282,-383.6322915873728,7.056831009058339,39,-209.00359201645375,-208.0834564468005,-209.65689994785933,-208.16317131104802,-208.55453044435433,-208.6923300333032,0.5825811302497699
0.12329959869384766,0.00990164198805788,0.3245082378387451,0.04100052106914656,2,2,"{'n_neighbors': 2, 'p': 2}",-406.37006140655774,-424.03203568532035,-400.15417149478566,-411.235573580533,-416.78487833140207,-411.71534409971974,8.244561938186651,58,-224.8896613655456,-224.5704933229049,-225.45216094084932,-226.1626499044088,-224.7476536701234,-225.16452384076644,0.5798608653588548
0.11585860252380371,0.006922861873418494,0.3042136192321777,0.01571110626951322,3,1,"{'n_neighbors': 3, 'p': 1}",-362.17058664503924,-376.7788205306453,-369.7163769795288,-364.452336809579,-372.7264580919274,-369.16891581134394,5.330838569033873,28,-257.36718712281413,-253.44575765476088,-255.74908753838133,-256.6687233261881,-253.48411640886005,-255.3429744102009,1.6170812999535948
0.12096786499023438,0.0070930146815695785,0.35492801666259766,0.011829941921760668,3,2,"{'n_neighbors': 3, 'p': 2}",-390.188390684741,-408.78098327733363,-387.3118578601776,-394.5685592893009,-403.546156817304,-396.8791895857715,8.09618161593958,57,-276.8825159564709,-274.94758745884144,-275.79206496340504,-277.04477338122547,-273.4487959368905,-275.62314753936664,1.3281376625917958
0.1136406421661377,0.0033675097915356516,0.3478379249572754,0.018110492214979547,4,1,"{'n_neighbors': 4, 'p': 1}",-357.65400880546866,-370.24478623566216,-357.79507531865585,-354.74426419466977,-368.1393684820394,-361.71550060729913,6.2366397847440185,22,-278.4254004808667,-276.51983575215087,-275.4193557731302,-277.89931058455477,-273.07717542436706,-276.26821560301386,1.9120946926355409
0.11552095413208008,0.0060069430198383175,0.41732306480407716,0.008974204272023723,4,2,"{'n_neighbors': 4, 'p': 2}",-384.42130112385587,-403.64140887498553,-380.01425260718423,-386.44023754345307,-395.4262746234067,-389.9886949545771,8.4739694860645,51,-300.9866168419223,-299.05031719822716,-300.11992352702623,-299.1592969700481,-295.5238326284688,-298.9679974331385,1.8605053776632534
0.1191281795501709,0.007819796487363036,0.3810169219970703,0.014775583426153798,5,1,"{'n_neighbors': 5, 'p': 1}",-349.1692503765496,-365.28671069400997,-351.7606720741599,-350.50776361529546,-366.3179374275782,-356.6084668375187,7.558404209863437,16,-291.04419918310595,-286.81467512528604,-289.60855106888357,-290.06793349168646,-285.51081049765367,-288.60923387332315,2.091705715862211
0.11566219329833985,0.006052213730478253,0.445664644241333,0.020590220344815797,5,2,"{'n_neighbors': 5, 'p': 2}",-381.00713706407146,-402.8835129185494,-378.72032444959444,-382.2084356894554,-390.1673464658169,-386.9973513174975,8.828868026214318,45,-314.6535384258857,-310.55471162480814,-314.1749840681304,-314.2804935982852,-311.1304038004751,-312.9588263035169,1.7447515331534302
0.12167396545410156,0.010088116904934434,0.42542576789855957,0.03157833254066129,6,1,"{'n_neighbors': 6, 'p': 1}",-348.1144904028116,-365.36052214884324,-347.84768250289693,-347.2319235225956,-361.5973348783314,-354.0303906910957,7.811189868196712,12,-298.7470911425895,-295.74483647634776,-297.9125436919452,-298.5320954753491,-294.6162109186413,-297.1105555409746,1.6388504027592052
0.11782240867614746,0.00875877202275182,0.48553218841552737,0.009617821430993082,6,2,"{'n_neighbors': 6, 'p': 2}",-378.103406326034,-398.64656470860854,-376.3279258400927,-381.4448435689455,-390.84057551178057,-385.0726631910923,8.43470998607943,42,-325.35307493989166,-320.6299933373889,-323.7171706930846,-324.63752582894006,-322.6368113087306,-323.39491522160716,1.6554053135841502
0.12438936233520508,0.009494265732803474,0.437976598739624,0.02348524183427071,7,1,"{'n_neighbors': 7, 'p': 1}",-345.7786550143172,-362.7853253223431,-345.10046349942064,-344.5457871213375,-361.8744909783148,-352.0169443871466,8.43446982118546,7,-305.96394741089273,-302.3607452192661,-304.9627525304775,-305.9684838653612,-302.20978754748523,-304.2931433146965,1.6805512454204892
0.11956400871276855,0.006230472642109685,0.5359917640686035,0.014193221589505456,7,2,"{'n_neighbors': 7, 'p': 2}",-378.6395550921098,-397.19837131933065,-375.6314351928488,-379.3507035259063,-389.76424433040887,-384.1168618921209,8.096152653210858,40,-332.275190670689,-327.6029497572906,-331.9013424151887,-330.7373807178859,-331.1042854659968,-330.72422980541023,1.6539696546284188
0.1601398468017578,0.04120670926337783,0.6957993030548095,0.14495503379304026,8,1,"{'n_neighbors': 8, 'p': 1}",-345.66976595991196,-362.53426601784264,-344.6240005793743,-344.38893395133255,-361.3252896871379,-351.7084512391199,8.365552483086812,6,-311.6950841516758,-307.54885794154285,-310.4053176235444,-311.1276323793523,-306.5644299287411,-309.46826440497136,2.0350269202320974
